Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#1[20],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#2[20],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#3[20],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#4[20],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#5[20],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#6[20],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#7[20]
1,2948,294,1.000000,0.778637,0.759497,1.272286,1.173947,-0.395310,0.019139,-0.493649,0.395310,0.414449,-0.098339,-0.019139,-0.414449,-0.512789,0.493649,0.098339,0.512789,-0.285866,0.243850,-0.311513,0.365368,-0.231288,-0.195581,-0.203630,-0.202749,-0.028539,-0.035707,-0.027658,0.028539,-0.007168,0.000880,0.035707,0.007168,0.008049,0.027658,-0.000880,-0.008049,-0.030694,0.007548,0.017153,0.006529,0.297475,0.454283,0.326150,0.517183,-0.219709,-0.156809,-0.028675,0.219709,0.062900,0.191033,0.156809,-0.062900,0.128133,0.028675,-0.191033,-0.128133,-0.137192,0.157218,0.072932,-0.096204,0.454718,0.649323,0.864657,0.656358,-0.201640,-0.194605,-0.409938,0.201640,0.007035,-0.208298,0.194605,-0.007035,-0.215334,0.409938,0.208298,0.215334,-0.265903,0.004294,-0.005133,0.279107,0.020903,0.080480,0.563698,0.209038,-0.188134,-0.059577,-0.542795,0.188134,0.128557,-0.354661,0.059577,-0.128557,-0.483218,0.542795,0.354661,0.483218,-0.257916,-0.005816,-0.178083,0.459765,0.253389,0.256781,-0.035833,0.222184,0.031205,-0.003391,0.289223,-0.031205,-0.034596,0.258018,0.003391,0.034596,0.292614,-0.289223,-0.258018,-0.292614,0.102008,0.060193,0.106552,-0.279698,0.329022,0.648388,0.902776,0.603816,-0.274795,-0.319366,-0.573754,0.274795,-0.044572,-0.298960,0.319366,0.044572,-0.254388,0.573754,0.298960,0.254388,-0.385616,-0.017391,0.042335,0.378127
2,1627,162,1.000000,0.615759,0.815241,1.003943,0.763470,-0.147711,-0.199482,-0.388184,0.147711,-0.051770,-0.240473,0.199482,0.051770,-0.188703,0.388184,0.240473,0.188703,-0.242265,-0.044331,0.025041,0.274128,-0.144234,-0.085056,-0.197565,-0.180776,0.036542,-0.059178,0.053330,-0.036542,-0.095720,0.016789,0.059178,0.095720,0.112508,-0.053330,-0.016789,-0.112508,0.009370,-0.039597,0.088668,-0.059843,-0.081265,-0.180645,-0.452881,-0.120015,0.038750,0.099380,0.371616,-0.038750,0.060630,0.332866,-0.099380,-0.060630,0.272236,-0.371616,-0.332866,-0.272236,0.165881,0.113957,0.032712,-0.326640,0.371006,0.468834,0.365160,0.426988,-0.055983,-0.097828,0.005846,0.055983,-0.041845,0.061829,0.097828,0.041845,0.103674,-0.005846,-0.061829,-0.103674,-0.050425,0.024592,0.080665,-0.056185,0.298362,0.454056,0.624694,0.365599,-0.067237,-0.155695,-0.326332,0.067237,-0.088457,-0.259095,0.155695,0.088457,-0.170637,0.326332,0.259095,0.170637,-0.180223,-0.090125,0.028408,0.253649,0.390769,0.381915,0.174915,0.406259,-0.015490,0.008854,0.215854,0.015490,0.024344,0.231344,-0.008854,-0.024344,0.207000,-0.215854,-0.231344,-0.207000,0.066817,0.087574,0.054953,-0.218287,0.075347,0.120587,0.220282,0.118015,-0.042668,-0.045240,-0.144935,0.042668,-0.002572,-0.102267,0.045240,0.002572,-0.099695,0.144935,0.102267,0.099695,-0.076268,-0.019093,-0.015646,0.115951
3,644,64,1.000000,1.035217,1.004647,1.710814,1.233205,-0.197988,0.030570,-0.675597,0.197988,0.228558,-0.477610,-0.030570,-0.228558,-0.706167,0.675597,0.477610,0.706167,-0.273113,-0.007810,-0.314077,0.618064,-0.098773,-0.164506,-0.094560,-0.128935,0.030162,0.065732,-0.004214,-0.030162,0.035571,-0.034376,-0.065732,-0.035571,-0.069946,0.004214,0.034376,0.069946,0.031256,-0.009161,-0.056826,0.035503,0.418471,0.305313,0.104840,0.456635,-0.038165,0.113157,0.313631,0.038165,0.151322,0.351795,-0.113157,-0.151322,0.200474,-0.313631,-0.351795,-0.200474,0.125859,0.177000,-0.025771,-0.290396,0.793139,0.952687,0.590476,0.861193,-0.068054,-0.159548,0.202663,0.068054,-0.091494,0.270718,0.159548,0.091494,0.362212,-0.202663,-0.270718,-0.362212,-0.012533,0.078660,0.201262,-0.276857,0.662256,0.889348,0.525988,0.903054,-0.240798,-0.227092,0.136269,0.240798,0.013706,0.377067,0.227092,-0.013706,0.363361,-0.136269,-0.377067,-0.363361,-0.115477,0.207193,0.188827,-0.290809,1.492266,1.613879,1.356019,1.291765,0.200501,-0.121613,0.136248,-0.200501,-0.322114,-0.064254,0.121613,0.322114,0.257861,-0.136248,0.064254,-0.257861,0.070421,-0.198250,0.233383,-0.106993,0.474976,0.750254,1.019273,0.785986,-0.311010,-0.275278,-0.544297,0.311010,0.035732,-0.233287,0.275278,-0.035732,-0.269019,0.544297,0.233287,0.269019,-0.373513,0.043241,-0.004641,0.350465
4,743,74,1.000000,0.559665,0.671444,1.101576,0.866484,-0.306819,-0.111778,-0.541911,0.306819,0.195040,-0.235092,0.111778,-0.195040,-0.430132,0.541911,0.235092,0.430132,-0.315734,0.095403,-0.165951,0.401823,-0.559213,-0.286817,0.377476,-0.366109,-0.193104,-0.272396,-0.936689,0.193104,-0.079292,-0.743585,0.272396,0.079292,-0.664293,0.936689,0.743585,0.664293,-0.458010,-0.199251,-0.093000,0.783867,0.422227,0.756433,0.703668,0.709504,-0.287276,-0.334206,-0.281440,0.287276,-0.046930,0.005836,0.334206,0.046930,0.052766,0.281440,-0.005836,-0.052766,-0.301365,0.083585,0.146471,0.076820,0.147315,0.354604,0.116145,0.269527,-0.122212,-0.207289,0.031170,0.122212,-0.085077,0.153382,0.207289,0.085077,0.238459,-0.031170,-0.153382,-0.238459,-0.102056,0.061708,0.175711,-0.139054,0.511182,0.936137,0.830940,0.705680,-0.194498,-0.424955,-0.319758,0.194498,-0.230457,-0.125260,0.424955,0.230457,0.105197,0.319758,0.125260,-0.105197,-0.312936,-0.052310,0.256503,0.117643,1.070021,1.153708,1.139485,1.005038,0.064983,-0.083687,-0.069464,-0.064983,-0.148670,-0.134448,0.083687,0.148670,0.014223,0.069464,0.134448,-0.014223,-0.028588,-0.115665,0.083553,0.064779,0.154059,0.327455,0.484402,0.227210,-0.073150,-0.173396,-0.330343,0.073150,-0.100246,-0.257192,0.173396,0.100246,-0.156947,0.330343,0.257192,0.156947,-0.189535,-0.091514,0.042815,0.249985
5,462,46,1.000000,0.408250,0.381223,0.797107,0.654189,-0.245939,0.027026,-0.388858,0.245939,0.272965,-0.142919,-0.027026,-0.272965,-0.415884,0.388858,0.142919,0.415884,-0.198865,0.130693,-0.235080,0.313887,-0.734579,-0.828431,-0.112532,-0.488066,-0.246513,0.093851,-0.622048,0.246513,0.340364,-0.375534,-0.093851,-0.340364,-0.715899,0.622048,0.375534,0.715899,-0.250960,0.079367,-0.376721,0.568265,0.082866,0.181682,-0.116787,0.383058,-0.300192,-0.098816,0.199653,0.300192,0.201376,0.499845,0.098816,-0.201376,0.298469,-0.199653,-0.499845,-0.298469,-0.071774,0.330483,0.060640,-0.333339,1.266680,1.573127,1.662365,1.630022,-0.363342,-0.306447,-0.395685,0.363342,0.056895,-0.032343,0.306447,-0.056895,-0.089238,0.395685,0.032343,0.089238,-0.354347,0.132531,0.056292,0.174085,0.005238,-0.171583,0.599099,0.038062,-0.032824,0.176821,-0.593861,0.032824,0.209645,-0.561037,-0.176821,-0.209645,-0.770682,0.593861,0.561037,0.770682,-0.141077,-0.097092,-0.378017,0.639283,0.094841,0.070444,0.432261,-0.396641,0.491482,0.024398,-0.337419,-0.491482,-0.467085,-0.828902,-0.024398,0.467085,-0.361817,0.337419,0.828902,0.361817,0.067425,-0.591161,0.034732,0.512331,0.174735,0.159076,0.649916,0.263096,-0.088361,0.015658,-0.475181,0.088361,0.104019,-0.386820,-0.015658,-0.104019,-0.490839,0.475181,0.386820,0.490839,-0.176777,-0.058373,-0.197759,0.450149
6,370,37,1.000000,0.916555,1.054394,1.463217,1.309683,-0.393128,-0.137839,-0.546662,0.393128,0.255289,-0.153534,0.137839,-0.255289,-0.408823,0.546662,0.153534,0.408823,-0.355461,0.171331,-0.170757,0.368890,-0.227566,0.207994,1.348814,-0.202353,-0.025213,-0.435560,-1.576380,0.025213,-0.410347,-1.551167,0.435560,0.410347,-1.140820,1.576380,1.551167,1.140820,-0.661104,-0.627319,-0.077454,1.428428,0.345277,0.706492,0.561991,0.479394,-0.134118,-0.361216,-0.216714,0.134118,-0.227098,-0.082596,0.361216,0.227098,0.144502,0.216714,0.082596,-0.144502,-0.237762,-0.058044,0.246267,0.055525,0.692814,0.941576,1.190616,0.766315,-0.073501,-0.248762,-0.497802,0.073501,-0.175260,-0.424301,0.248762,0.175260,-0.249041,0.497802,0.424301,0.249041,-0.268866,-0.170374,0.064474,0.393208,0.618817,1.032125,1.167199,0.843017,-0.224201,-0.413309,-0.548382,0.224201,-0.189108,-0.324181,0.413309,0.189108,-0.135073,0.548382,0.324181,0.135073,-0.392235,-0.091806,0.161598,0.339895,0.717277,0.867349,0.740095,0.545175,0.172102,-0.150072,-0.022818,-0.172102,-0.322174,-0.194920,0.150072,0.322174,0.127253,0.022818,0.194920,-0.127253,0.000188,-0.230428,0.201285,0.033310,0.361001,0.787534,0.643076,0.529412,-0.168411,-0.426533,-0.282076,0.168411,-0.258122,-0.113665,0.426533,0.258122,0.144458,0.282076,0.113665,-0.144458,-0.292545,-0.066874,0.279009,0.088325

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/users/evelina9/more_evelina_files/MEGADATA/288_FED_20150613a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,1,/users/evelina9/more_evelina_files/MEGADATA/289_FED_20150613b_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,1,/users/evelina9/more_evelina_files/MEGADATA/215_FED_20150615d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,1,/users/evelina9/more_evelina_files/MEGADATA/296_FED_20150625b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,1,/users/evelina9/more_evelina_files/MEGADATA/298_FED_20150625d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,1,/users/evelina9/more_evelina_files/MEGADATA/280_FED_20150811c_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,1,/users/evelina9/more_evelina_files/MEGADATA/018_FED_20150817a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
