Contrast name:,Group (Adj-Adv)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,-0.148133,0.115061,-1.287436,6.000000,0.877315,0.979646
2,1627,162,1.000000,0.033769,0.070212,0.480956,6.000000,0.323792,0.979646
3,644,64,1.000000,0.019825,0.149849,0.132299,6.000000,0.449536,0.979646
4,743,74,1.000000,-0.120104,0.121584,-0.987827,6.000000,0.819308,0.979646
5,462,46,1.000000,-0.363699,0.139929,-2.599163,6.000000,0.979646,0.979646
6,370,37,1.000000,-0.216792,0.174426,-1.242890,6.000000,0.869863,0.979646
