Contrast name:,Group (Adj-Adv)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,-0.237987,0.063183,-3.766612,6.000000,0.995337,0.995337
2,1627,162,1.000000,-0.017501,0.047457,-0.368782,6.000000,0.637523,0.995337
3,644,64,1.000000,0.208813,0.091324,2.286515,6.000000,0.031120,0.186723
4,743,74,1.000000,-0.260638,0.086380,-3.017333,6.000000,0.988261,0.995337
5,462,46,1.000000,-0.291213,0.189871,-1.533743,6.000000,0.912006,0.995337
6,370,37,1.000000,-0.256293,0.089655,-2.858641,6.000000,0.985573,0.995337
